"1st ID Expiry Date";"1st ID Expiry Date"
"1st ID Number";"1st ID Number"
"1st ID type";"1st ID type"
"2G/3G service";"2G/3G service"
"2nd ID Expiry Date";"2nd ID Expiry Date"
"2nd ID Number";"2nd ID Number"
"2nd ID type";"2nd ID type"
"active";"Is active?"
"address";"Address"
"allowEmpty";"Allow Empty?"
"applog";"Application LOG"
"Attach scanned signed contract:";"Attach scanned signed contract:"
"Attached scanned ID document";"Attached scanned ID document"
"Automatic Reload?";"Automatic Reload?"
"Barcode";"Barcode"
"billingaddress";"Billing address"
"Birth Date";"Birth Date"
"birthdate";"Birthdate"
"cardtypes";"Card types"
"CCard Number";"CCard Number"
"CCard Owner";"CCard Owner"
"CCard Type";"CCard Type"
"ccnumChecksum";"This credit card number is not valid"
"Change Password";"Change Password"
"city";"City"
"city";"City"
"City";"City"
"classname";"Class Name"
"Clear";"Clear"
"code";"Short internal code"
"Confirm";"Confirm"
"Confirm";"Confirm"
"Confirm New Password";"Confirm New Password"
"Contract Duration";"Contract Duration"
"contractraw";"Contract RAW data"
"contracts";"Contracts"
"countries";"Countries"
"countries_id";"Country"
"County";"County"
"Credit Card";"Credit Card"
"CTC SIM Card Number";"CTC SIM Card Number"
"custname";"Customer First Name"
"custname2";"Customer Last Name"
"Customer Identification";"Customer Identification"
"Customer Identification [new activation]";"Customer Identification"
"Customer Name";"Customer Name"
"customers";"Customers"
"customers_id";"Customer"
"customertype";"Customer types"
"customertype_id";"Customer Type"
"CVC Number";"CVC Number"
"Date";"Date"
"datecreation";"Creation date"
"datemodification";"Modification date"
"Dealer Login";"Dealer Login"
"desc";"Description"
"description";"Description"
"Donor MSISDN";"Donor MSISDN"
"Donor Operator Name";"Donor Operator Name"
"E-Mail Address";"E-Mail Address"
"elementname";"Element Name"
"email";"Email address"
"email";"Email Address"
"ERRLENGTH";"The length of this field is not right"
"Errors:";"Errors:"
"ERROTHERCNT";"One of the other contact information field should be filled for a post-paid customer"
"ERRSIMNR";"The SIM card number is not valid"
"ERRWRIDNUM";"This document ID is not valid"
"Expiry Month";"Expiry Month"
"Expiry Year";"Expiry Year"
"fax";"Fax number"
"FLNAMES";"This field contains unauthorized characters"
"flows";"Flows"
"flows_id";"Flow"
"fname";"First Name"
"form";"Forms"
"form_id";"Form's name"
"formdisplaygroup";"Display group"
"formelements";"Fields"
"FormelementsFormdisplaygroup";"Display Groups"
"FormelementsFormfilters";"Filters"
"FormelementsFormvalidators";"Validators"
"formelementsjsfilter";"Fields Javascript libs"
"formelementsjsfilter_id";"JS lib name"
"formelementsjsfilterparams";"JS params"
"formelementtypes";"Fields types"
"formelementtypes_id";"Element type"
"formfilters";"Value filter"
"formraw";"Forms saved"
"formvalidators";"Value validator"
"Gender";"Gendercompanyname"
"generationdate";"Generation date"
"Go Back";"Go Back"
"Go Back to Login";"Go Back to Login"
"Hao Kan card number/C4 credit card";"Hao Kan card number/C4 credit card"
"Home Phone";"Home Phone"
"homephone";"Home phone number"
"idcardexpd1";"ID document #1 expiration date"
"idcardexpd2";"ID document #2 expiration date"
"idcardnbr1";"ID document #1 number"
"idcardnbr2";"ID document #2 number"
"isocode";"ISO code"
"Itemized Bill?";"Itemized Bill?"
"JCB";"JCB"
"label";"Label"
"languages";"Languages"
"languages_id";"Language"
"listvals";"Value lists"
"listvalsgroups";"Value lists groups"
"listvalsgroups_id";"Value list group"
"listzhcounty";"Chinese Counties"
"listzhtownship";"Chinese Townships"
"lname";"Last Name"
"Login";"Login"
"login";"Login"
"Loss";"Loss"
"loyacardnbr";"Loyalty Card Number"
"LR ID Expiry Date";"LR ID Expiry Date"
"LR ID Number";"LR ID Number"
"LR ID Type";"LR ID Type"
"LR Phone";"LR Phone"
"LR's Name";"LR's Name"
"maritalstatus";"Marital status"
"Married?";"Married?"
"MasterCard";"MasterCard"
"mdname";"Middle name"
"Migration";"Migration"
"MNP";"MNP"
"Monthly";"Monthly"
"msisdn";"GSM number"
"MSISDN";"MSISDN"
"name";"Name"
"nationalities";"Nationalities"
"nationalities_id";"Nationality"
"Nationality";"Nationality"
"nationality";"Nationality"
"New Activation";"New Activation"
"New Password";"New Password"
"New SIM Number";"New SIM Number"
"Next";"Next"
"Office Phone";"Office Phone"
"officephone";"Office phone number"
"Old Password";"Old Password"
"Option";"Option"
"order";"Order"
"Other MSISDN";"Other MSISDN"
"othermsisdn";"Other GSM number"
"parent_id";"linked to"
"password";"Password"
"Password";"Password"
"password2";"Re-type password"
"Payment Information";"Payment Information"
"Payment Method";"Payment Method"
"paymentmethods";"Payment methods"
"Permanent address";"Permanent addresscompanyname"
"phone";"Telephone number"
"phone";"Telephone number"
"Please complete or correct the field(s) in the red boxes and click on NEXT";"Please complete or correct the field(s) in the red boxes and click on NEXT"
"Please complete or correct the field(s) in the red boxes and click on VALIDATE";"Please complete or correct the field(s) in the red boxes and click on VALIDATE"
"Postpaid";"Postpaid"
"Postpaid to Prepaid";"Postpaid to Prepaid"
"Pre-assigned Number?";"Pre-assigned Number?"
"Prepaid";"Prepaid"
"Prepaid to Postpaid";"Prepaid to Postpaid"
"Previous";"Previous"
"Print";"Print"
"printable";"Is printable?"
"Product & Services";"Product & Services"
"Product & Services [new activation]";"Product & Services"
"province";"State / Province"
"rawdata";"Serialized objects"
"REJECT 1";"This customer is younger than 20 years old  "
"REJECT 10";"Risk customer 03"
"REJECT 2";"This customer is younger than 20 years old "
"REJECT 3";"This customer ID has expired"
"REJECT 4";"Over prepaid card number limitation "
"REJECT 5";"Over postpaid card number limitation "
"REJECT 6";"Over postpaid card number limitation"
"REJECT 7";"Over prepaid card number limitation"
"REJECT 8";"Risk customer 01"
"REJECT 9";"Risk customer 02"
"REJECTCCNOTVALID";"The credit card has expired"
"REJECTCCNOTVALID";"The credit card has expired"
"REJECTSEXNOTMACH";"The selected gender does not mach the ID document information provided"
"Reload Frequency";"Reload Frequency"
"Reload Limit";"Reload Limit"
"Reload Method";"Reload Method"
"Reload Value";"Reload Value"
"Replacement Reason";"Replacement Reason"
"required";"Is required?"
"Salesman ID";"Salesman ID"
